城市,面积,房龄,楼层,总楼层,距离CBD距离,距离地铁距离,周边学校数量,周边医院数量,人均GDP,人口密度,房屋类型,装修情况,单价,总价
茂名,97.5,1.2,5,23,14.53,2.71,1,7,108209,490,住宅,精装,8235,803040
湛江,69.6,3.0,8,20,3.63,1.11,3,4,66958,1077,住宅,豪装,11314,787164
江门,52.3,2.5,28,32,17.79,0.49,6,0,102101,515,住宅,毛坯,11716,613231
湛江,85.0,6.5,24,25,22.97,1.12,3,1,89830,1023,公寓,豪装,6917,588139
江门,168.5,2.9,13,29,48.72,4.45,2,0,56473,490,住宅,精装,3000,505451
肇庆,42.5,4.0,4,32,15.26,2.64,3,2,49448,1255,住宅,简装,9546,405314
梅州,129.2,4.9,6,30,10.52,5.96,3,2,79630,853,住宅,精装,6069,784344
深圳,117.5,4.3,8,19,0.65,1.73,2,1,91984,746,住宅,精装,71901,8449048
广州,102.3,24.6,13,25,13.17,3.59,2,0,94353,1288,住宅,简装,27931,2857304
清远,101.2,2.3,14,24,3.56,3.98,3,2,94769,875,别墅,简装,15447,1563274
佛山,79.5,29.6,17,33,28.71,5.56,1,0,76070,602,住宅,简装,4168,331452
珠海,43.9,12.8,14,21,3.72,0.04,3,3,70743,653,公寓,精装,26386,1159259
梅州,62.9,5.2,10,17,5.43,0.75,0,2,87286,787,公寓,简装,6394,402347
肇庆,60.6,3.4,18,29,22.51,3.96,5,1,69910,784,住宅,精装,8243,499833
珠海,123.5,4.2,23,29,9.08,2.87,1,2,72669,694,住宅,简装,32677,4037108
广州,40.0,8.7,6,11,28.93,0.36,6,2,97275,1171,住宅,简装,23302,932099
珠海,99.1,5.9,22,25,0.01,4.09,4,1,46631,1048,住宅,简装,25561,2532133
佛山,75.3,19.1,7,11,9.42,2.86,2,5,65342,842,住宅,豪装,14349,1080746
阳江,110.2,0.4,20,33,12.02,1.15,2,1,158524,874,住宅,毛坯,7738,853201
河源,131.6,4.0,11,17,2.01,2.96,4,0,70256,1260,住宅,简装,9196,1210634
珠海,110.2,2.5,17,22,17.02,0.76,5,1,83916,1097,住宅,豪装,36537,4025063
广州,62.4,0.7,27,30,4.54,0.84,5,0,54412,897,住宅,豪装,48983,3054172
佛山,97.6,2.3,30,31,35.27,2.09,1,1,30000,1132,住宅,精装,6038,589082
河源,83.5,11.3,4,26,5.33,0.23,6,1,99080,895,住宅,精装,9552,797560
湛江,129.6,4.0,6,22,0.69,0.49,0,1,116443,820,住宅,简装,14243,1845425
江门,114.9,0.7,11,15,1.56,0.16,1,1,81819,857,住宅,精装,20392,2343995
阳江,84.1,16.5,13,20,5.27,5.57,5,0,89547,838,住宅,简装,5440,457502
阳江,52.5,6.9,22,31,26.02,3.44,3,1,93063,779,住宅,精装,3652,191804
茂名,78.3,13.2,22,34,7.28,1.23,2,3,53973,100,住宅,精装,4498,352409
汕尾,96.8,10.0,13,19,8.11,0.25,3,2,88937,920,住宅,简装,8547,827102
潮州,81.0,3.5,13,18,16.9,2.15,1,1,74224,440,公寓,精装,4341,351834
湛江,95.4,10.5,9,15,3.74,4.35,7,3,48472,845,公寓,简装,7247,691568
东莞,117.0,2.3,18,32,9.93,1.44,3,1,75732,1252,住宅,精装,26745,3128361
揭阳,135.4,2.5,27,28,0.39,1.85,4,2,70513,125,住宅,毛坯,5992,811369
汕头,139.9,18.3,25,34,6.25,3.27,1,1,70480,990,公寓,简装,6221,870223
佛山,67.9,2.6,25,34,39.24,0.48,1,5,60637,508,住宅,毛坯,4781,324431
湛江,96.7,6.7,8,14,2.12,1.44,1,1,65686,590,住宅,毛坯,6679,646147
汕尾,99.3,2.7,23,32,16.31,4.09,5,1,69921,829,公寓,简装,5204,516593
阳江,65.3,1.5,22,25,13.19,0.82,4,1,75121,891,公寓,精装,6287,410639
惠州,99.3,0.9,5,24,16.02,1.53,1,1,57427,873,住宅,毛坯,8477,841855
汕头,132.2,5.7,19,33,9.46,1.93,3,3,65945,866,公寓,毛坯,8997,1189743
汕尾,66.4,11.6,2,25,10.75,0.13,1,1,66460,498,住宅,简装,5044,335089
湛江,90.2,8.7,22,31,4.34,2.1,1,1,88100,321,住宅,毛坯,7164,646032
潮州,130.9,14.8,7,34,22.54,2.23,6,1,89564,1015,公寓,毛坯,3107,406575
深圳,106.3,1.3,6,9,71.43,2.6,6,2,86224,733,住宅,简装,3000,318868
茂名,97.6,18.6,23,29,2.02,3.36,5,1,75716,975,住宅,毛坯,4874,475681
汕尾,135.0,3.9,2,6,7.38,0.55,1,0,84531,1225,公寓,豪装,7852,1059862
云浮,133.3,3.2,15,15,7.73,2.23,2,1,86760,1319,公寓,精装,7371,982621
韶关,95.0,10.5,13,23,3.1,0.05,4,0,101666,1566,住宅,毛坯,8867,842390
梅州,130.4,2.1,26,31,11.11,0.63,3,2,125568,1103,住宅,豪装,12040,1570227
梅州,146.8,20.6,13,34,5.41,6.8,4,3,84417,1120,住宅,毛坯,4119,604863
揭阳,65.7,1.0,20,32,30.91,1.2,1,3,79965,117,公寓,毛坯,3000,196981
惠州,79.4,2.4,16,33,7.7,0.83,1,1,70158,1449,公寓,精装,21966,1744186
湛江,128.2,6.2,27,29,12.52,4.77,2,1,68721,573,公寓,精装,5830,747331
广州,131.1,0.7,11,12,14.92,3.53,3,3,86342,769,住宅,精装,39884,5227890
广州,100.6,5.3,5,16,45.1,0.04,3,0,89453,1397,住宅,毛坯,5157,518870
揭阳,120.2,3.9,5,30,8.77,0.1,7,4,84156,396,住宅,精装,9222,1108800
汕尾,137.0,5.9,10,16,7.02,1.96,0,1,91084,966,住宅,精装,8056,1103868
江门,70.1,5.1,19,23,0.39,1.61,3,0,67565,100,住宅,精装,12552,880321
珠海,40.0,22.1,25,25,23.88,2.83,2,2,41015,1091,住宅,毛坯,7177,287095
湛江,129.4,4.3,20,31,6.13,0.39,3,1,65429,701,住宅,精装,10648,1378171
韶关,110.3,5.2,12,26,8.62,1.98,6,3,118703,959,住宅,精装,9860,1088079
肇庆,106.8,0.6,30,30,47.27,4.42,5,3,34205,952,住宅,毛坯,3000,320265
江门,42.4,2.9,23,33,18.1,1.78,4,1,58097,744,住宅,精装,8965,379948
佛山,130.5,4.3,21,30,10.8,0.28,3,1,63602,556,公寓,简装,15301,1997289
广州,86.9,0.9,3,25,12.79,0.13,0,2,67773,1025,住宅,简装,36985,3212661
潮州,101.8,3.0,29,31,24.78,1.89,2,1,60423,648,住宅,精装,4516,459946
茂名,74.3,14.2,11,17,19.26,2.96,2,2,82854,676,住宅,简装,4968,369346
梅州,114.9,9.8,5,24,24.73,4.34,1,2,41425,377,住宅,毛坯,3000,344590
阳江,40.6,19.4,9,28,10.77,2.28,3,2,58827,748,住宅,毛坯,4091,166118
江门,152.8,10.4,3,28,2.39,0.46,3,5,59043,634,住宅,精装,18538,2832355
揭阳,87.0,13.4,18,33,24.82,4.17,4,4,89262,848,住宅,简装,4099,356641
东莞,106.2,1.2,26,30,17.22,0.54,7,3,86247,781,住宅,精装,24927,2647345
东莞,127.9,4.1,5,13,5.52,1.3,8,1,108479,334,住宅,毛坯,28684,3668713
揭阳,122.3,2.1,15,17,14.9,3.98,5,0,72461,856,住宅,毛坯,4071,497912
梅州,79.7,1.0,25,30,0.98,1.01,4,5,79181,860,公寓,简装,8560,682039
湛江,80.8,0.0,19,27,12.69,1.3,3,3,93615,911,住宅,精装,10479,846681
深圳,63.1,0.6,27,34,18.62,0.53,3,2,64115,771,公寓,精装,41259,2601614
珠海,101.0,11.9,22,24,0.48,1.53,0,3,83322,900,住宅,精装,32972,3329267
东莞,102.7,15.7,15,26,46.2,0.26,0,1,45669,834,住宅,简装,3000,307989
佛山,68.0,30.0,30,34,20.06,1.54,5,4,39941,1312,住宅,简装,7819,532002
东莞,50.5,1.0,4,13,10.47,0.03,8,2,78233,943,住宅,精装,34534,1745618
东莞,87.7,12.6,6,18,3.09,6.02,3,2,61122,810,公寓,精装,19852,1740947
东莞,82.0,5.2,3,17,14.86,2.01,7,5,126675,669,别墅,精装,34830,2857530
深圳,116.6,7.1,15,31,3.22,1.27,3,1,82146,839,公寓,精装,64260,7495741
深圳,73.9,1.8,24,31,3.48,1.57,3,2,75254,1362,公寓,简装,80963,5986877
佛山,43.1,0.7,17,34,19.58,0.72,3,0,71053,1603,住宅,毛坯,16250,699697
广州,94.7,2.0,23,25,1.37,1.34,4,3,40219,1136,公寓,精装,41968,3976266
广州,45.1,6.3,24,29,7.54,0.11,4,1,100982,889,住宅,简装,54647,2463931
潮州,91.5,1.9,20,23,18.84,6.3,5,1,113296,1025,公寓,精装,4230,387135
深圳,109.2,7.3,12,19,22.03,7.41,3,1,65587,1102,住宅,简装,26162,2857450
云浮,129.9,3.3,27,31,1.38,3.0,3,3,78254,989,公寓,精装,6208,806711
梅州,112.7,10.2,12,17,11.25,0.6,1,0,78321,893,住宅,精装,4937,556296
韶关,83.1,7.7,4,21,19.51,5.12,4,3,57954,376,公寓,毛坯,3000,249252
汕头,91.2,8.6,22,23,4.86,1.63,4,1,63480,176,公寓,毛坯,5127,467573
惠州,144.3,5.3,10,33,53.88,1.46,3,0,87212,585,住宅,精装,3000,432904
东莞,98.5,1.0,2,24,1.88,0.09,3,0,66516,1450,住宅,简装,27363,2696557
韶关,74.6,3.7,10,32,21.82,6.78,6,2,73635,955,住宅,简装,4037,301381
佛山,101.1,6.3,13,31,6.31,3.82,2,0,95317,768,住宅,毛坯,18003,1820927
揭阳,108.8,6.9,16,23,20.57,3.24,2,2,83896,775,住宅,简装,4715,513126
深圳,122.3,1.3,6,6,3.52,2.38,4,3,50707,623,住宅,简装,67218,8220429
韶关,40.0,8.1,28,30,2.15,5.48,5,4,82828,994,住宅,简装,7397,295906
惠州,65.6,30.0,18,33,18.97,7.51,4,2,58213,623,住宅,简装,5034,330183
清远,69.8,0.5,5,6,9.65,0.37,2,2,94998,1305,住宅,精装,12121,845844
清远,99.1,0.1,24,31,16.24,0.08,5,4,30000,916,住宅,毛坯,5763,571082
广州,93.2,0.6,23,27,8.1,4.2,3,3,102555,670,住宅,毛坯,39574,3687827
江门,124.6,5.1,7,31,2.73,0.81,4,4,65760,883,住宅,毛坯,16348,2036828
韶关,80.6,5.0,29,34,9.16,0.69,2,3,87189,1068,公寓,简装,7444,600343
清远,124.2,2.4,21,22,5.88,6.08,5,2,82357,775,公寓,简装,7953,987700
珠海,71.0,12.6,29,30,41.62,2.28,4,3,54711,934,住宅,毛坯,3916,277985
揭阳,79.5,2.8,10,34,16.54,0.29,2,1,74034,853,公寓,简装,4131,328354
汕头,68.0,11.1,10,24,2.32,0.41,3,3,91842,1033,住宅,简装,11196,761183
潮州,83.2,7.0,9,22,1.99,1.83,5,1,67817,627,住宅,毛坯,6474,538819
珠海,86.8,11.0,12,21,5.8,0.43,4,3,84860,566,住宅,毛坯,26824,2328877
潮州,140.3,1.9,12,26,0.46,3.71,2,1,92112,630,住宅,精装,8338,1169726
揭阳,83.5,2.2,6,24,7.94,2.44,2,4,66390,458,住宅,精装,5876,490921
湛江,98.1,3.6,17,20,5.63,0.13,1,1,82113,1114,住宅,精装,11871,1164023
揭阳,81.0,10.4,20,26,65.57,0.51,4,2,44238,1058,公寓,精装,3000,243087
江门,104.7,0.4,11,23,10.16,0.74,2,1,125564,921,住宅,精装,21070,2206660
广州,112.7,1.0,28,28,26.97,1.72,3,1,93604,277,住宅,毛坯,16491,1859269
肇庆,124.8,1.4,22,27,2.36,4.19,2,4,92920,617,住宅,简装,12239,1527935
湛江,99.4,14.4,26,28,19.97,0.64,4,1,91705,1124,公寓,豪装,7389,734306
中山,109.6,8.3,3,5,15.76,8.09,2,3,101438,768,住宅,豪装,12164,1333426
肇庆,53.3,6.0,17,31,53.94,0.89,5,1,100818,703,住宅,精装,3000,159936
广州,91.2,4.9,21,22,16.66,3.44,4,1,99346,965,住宅,精装,39311,3585818
惠州,40.0,6.3,15,24,13.1,0.41,1,0,64772,1144,住宅,毛坯,13407,536307
中山,133.0,3.2,9,33,13.61,0.64,0,4,85774,625,住宅,毛坯,15227,2025745
茂名,120.5,26.3,10,19,3.05,0.22,6,3,88353,859,住宅,精装,8818,1062690
珠海,110.6,1.5,22,33,0.74,1.32,0,3,63641,554,公寓,精装,32996,3649847
湛江,125.8,5.4,4,14,39.47,0.36,0,2,70801,752,住宅,精装,3000,377284
清远,109.7,2.0,20,21,17.28,0.42,2,3,54685,505,住宅,简装,5942,651682
清远,116.7,6.3,4,7,4.05,0.36,1,1,89932,926,住宅,简装,7378,860974
揭阳,63.5,0.1,14,14,63.61,2.32,2,4,69486,253,公寓,豪装,3000,190360
东莞,106.1,2.3,4,21,4.68,4.87,4,2,91686,638,住宅,简装,24562,2606222
深圳,68.1,0.1,18,33,110.09,0.48,6,3,84386,714,公寓,简装,3000,204330
广州,87.4,30.0,14,17,8.07,0.36,3,0,66741,862,公寓,简装,20180,1763294
清远,89.4,9.9,24,34,6.71,2.8,2,1,103862,1089,住宅,简装,8605,768953
梅州,65.7,19.3,18,21,1.47,0.03,2,2,96726,1232,住宅,毛坯,5790,380287
佛山,96.7,4.9,18,27,20.83,2.74,2,2,73807,560,住宅,精装,11090,1072141
佛山,140.2,0.2,11,33,0.82,2.42,2,2,92303,1011,公寓,毛坯,23899,3349883
江门,142.4,7.7,17,22,26.73,1.24,5,2,93569,724,住宅,精装,9659,1375608
江门,86.2,0.2,27,32,6.67,1.99,5,2,61266,537,住宅,毛坯,11908,1026033
珠海,53.6,6.1,11,33,24.18,3.74,1,2,70794,893,住宅,简装,13294,712231
潮州,103.8,8.4,25,25,1.94,2.01,3,1,78877,634,住宅,精装,7273,754859
清远,62.6,1.9,7,18,3.67,1.56,3,3,105759,868,住宅,精装,11952,748485
清远,121.1,0.1,2,22,6.27,6.13,4,2,59091,845,公寓,简装,7512,909577
珠海,72.4,8.2,30,34,13.19,0.62,0,0,83896,984,住宅,精装,26581,1925329
揭阳,96.9,8.9,16,33,4.53,0.7,0,3,102203,521,住宅,精装,7512,727974
广州,77.3,2.6,16,24,21.6,3.24,2,1,85764,763,公寓,精装,24602,1901096
揭阳,40.0,3.6,29,32,13.17,3.19,3,6,71861,1575,别墅,精装,11100,444024
惠州,101.6,1.5,30,30,0.54,0.78,3,2,73787,721,公寓,简装,15024,1526341
东莞,137.8,3.3,1,6,37.35,1.75,3,2,71611,506,住宅,简装,6009,828246
肇庆,142.2,3.1,20,21,2.04,4.92,2,2,91162,722,公寓,精装,10751,1528920
汕头,140.6,1.0,15,25,7.07,2.82,1,0,93728,740,公寓,精装,9553,1342869
韶关,90.3,3.6,27,34,31.3,3.06,2,4,108070,596,公寓,毛坯,3000,270927
肇庆,63.6,3.7,4,31,10.07,1.05,2,0,63421,639,公寓,精装,9548,607300
揭阳,172.8,1.5,13,14,5.76,1.8,1,1,102750,975,住宅,毛坯,8050,1391315
珠海,108.4,8.2,2,16,17.66,0.34,2,0,64021,568,公寓,精装,20905,2265219
清远,70.3,4.1,24,31,10.29,0.26,4,2,55614,993,住宅,简装,9020,634512
珠海,103.0,1.0,4,13,22.76,0.99,4,6,63529,1299,公寓,精装,23750,2447114
中山,108.4,10.2,12,30,33.37,0.68,1,1,69975,872,别墅,精装,12106,1312556
河源,153.1,1.7,18,28,35.0,0.1,7,5,30000,812,住宅,简装,3153,482878
中山,61.4,0.9,8,32,1.33,0.72,7,1,76527,481,住宅,精装,26140,1605006
深圳,127.6,17.6,14,33,19.55,0.76,2,1,86304,1143,住宅,毛坯,44618,5693860
珠海,47.1,8.8,9,11,17.21,4.1,3,1,39218,731,公寓,豪装,13328,628275
清远,73.1,8.9,6,16,24.58,3.49,5,0,86085,924,住宅,简装,4510,329893
江门,64.6,15.1,12,28,11.7,1.99,4,2,66831,1283,住宅,精装,13364,862804
汕头,113.1,0.4,22,26,2.86,2.34,6,3,82195,747,住宅,精装,11265,1274195
广州,119.4,4.6,27,32,3.41,4.13,2,3,77810,1081,住宅,毛坯,36700,4382019
汕头,40.0,19.8,18,32,10.55,8.91,1,1,55002,568,住宅,精装,3806,152256
广州,141.3,6.6,5,27,1.83,0.27,2,1,81707,1086,别墅,简装,111285,15725898
河源,97.5,14.7,7,32,8.44,0.77,3,0,65728,417,住宅,豪装,5905,575976
云浮,119.2,0.5,12,28,21.81,2.15,6,1,67989,655,住宅,毛坯,4797,571839
清远,93.8,24.0,16,26,8.28,2.51,3,1,51915,722,住宅,精装,5339,500901
揭阳,86.8,0.7,4,7,12.3,0.66,4,0,79714,909,公寓,简装,6955,603628
肇庆,145.8,7.9,29,30,48.2,2.25,3,2,85291,698,住宅,豪装,3000,437315
湛江,95.0,0.5,2,20,14.65,7.05,5,2,102149,746,住宅,简装,4713,447646
珠海,113.9,7.2,29,29,7.75,2.26,2,3,72852,422,住宅,豪装,26055,2966760
东莞,115.0,5.6,19,19,36.56,4.14,4,1,76121,964,住宅,简装,5661,651143
广州,118.6,0.2,12,22,13.07,1.52,4,0,75779,1017,住宅,精装,47469,5630525
清远,71.8,0.3,6,23,19.56,0.45,3,2,96217,671,公寓,精装,7706,553078
梅州,149.2,4.2,20,34,16.44,1.49,4,3,90123,709,住宅,精装,7436,1109777
潮州,104.3,15.7,7,21,30.04,0.77,1,1,93222,555,住宅,精装,3000,312885
河源,40.0,11.0,23,27,21.21,0.81,2,2,65018,908,住宅,精装,4906,196265
韶关,158.4,2.1,19,21,5.55,2.37,0,1,87503,567,公寓,简装,7059,1118488
韶关,125.8,6.6,26,28,6.67,1.88,2,0,91991,655,公寓,精装,6611,831748
汕尾,68.1,2.1,13,16,10.34,1.15,1,0,63628,942,住宅,简装,5966,406055
潮州,123.0,17.6,22,26,0.54,1.71,1,3,84401,791,住宅,精装,7686,945216
肇庆,69.1,17.6,24,25,2.31,2.89,9,2,91185,582,住宅,精装,10648,735999
深圳,161.7,5.9,21,28,5.97,0.24,3,2,112753,717,住宅,简装,62741,10146657
云浮,113.4,22.3,28,33,28.51,1.6,3,1,87509,786,住宅,精装,3000,340239
广州,89.3,4.5,17,31,47.52,3.48,2,0,50051,1115,住宅,毛坯,3000,267878
阳江,116.9,7.3,22,28,24.15,5.38,3,1,81189,700,住宅,豪装,4684,547672
广州,56.5,0.9,11,31,5.11,1.76,5,2,48061,735,住宅,精装,50774,2871020
佛山,68.5,5.7,16,23,14.88,0.93,3,2,84609,549,住宅,简装,15818,1083415
清远,69.1,3.2,27,27,9.76,0.4,2,0,104562,820,公寓,毛坯,6169,426276
潮州,93.2,8.6,9,11,9.72,3.6,2,0,104581,841,住宅,精装,7379,687428
